Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response,sentiment,Vehicle_Age_< 1 Year,Vehicle_Age_> 2 Years
0,49,1,28.0,0,1,66389.0,124.0,129,0,0,False,False
0,40,1,18.0,0,0,29401.0,124.0,93,0,0,False,False
1,67,1,28.0,0,1,37500.0,124.0,46,1,1,False,True
1,41,1,24.0,0,1,2630.0,124.0,64,0,0,False,False
1,61,1,41.0,0,1,26952.0,124.0,146,0,0,False,False
1,73,1,28.0,0,1,2630.0,125.0,280,0,0,False,False
1,21,1,41.0,0,1,2630.0,157.0,178,0,0,True,False
1,25,1,28.0,0,1,45399.0,152.0,125,0,0,True,False
0,24,1,6.0,0,1,28336.0,152.0,112,0,0,True,False
1,74,1,39.0,1,0,31618.0,124.0,207,0,0,False,False
1,24,1,6.0,1,0,29468.0,152.0,252,0,0,True,False
1,33,1,2.0,0,1,20849.0,124.0,155,0,0,False,False
1,29,1,8.0,1,0,27791.0,152.0,145,0,0,True,False
0,50,1,47.0,1,0,28229.0,124.0,213,0,0,False,False
1,29,1,22.0,1,1,2630.0,156.0,134,0,0,False,False
0,23,1,41.0,1,0,37935.0,152.0,181,0,0,True,False
1,64,1,28.0,0,1,107115.0,25.0,293,1,1,False,False
1,25,1,21.0,1,0,26377.0,152.0,245,0,0,True,False
1,54,1,28.0,0,1,2630.0,163.0,57,1,1,False,False
0,28,1,28.0,0,1,42138.0,152.0,165,0,0,True,False
1,41,1,28.0,0,1,62655.0,26.0,128,0,0,False,False
1,44,1,35.0,0,1,2630.0,157.0,49,0,0,False,False
1,49,1,29.0,0,1,27761.0,156.0,224,0,0,False,False
1,53,1,28.0,1,0,25877.0,124.0,183,0,0,False,False
0,36,1,28.0,1,0,32179.0,152.0,83,0,0,False,False
0,35,1,28.0,0,1,42155.0,26.0,95,0,0,False,False
1,33,1,43.0,0,1,59329.0,124.0,122,0,0,True,False
0,27,1,46.0,1,0,29033.0,152.0,143,0,0,True,False
1,50,1,48.0,0,1,2630.0,124.0,100,0,0,False,False
0,50,1,28.0,0,1,52312.0,124.0,37,0,0,False,False
1,25,1,3.0,0,1,27696.0,152.0,285,0,0,True,False
1,23,1,37.0,0,1,36030.0,151.0,21,1,1,True,False
0,22,1,1.0,1,0,2630.0,152.0,112,0,0,True,False
1,23,1,50.0,0,0,39583.0,151.0,128,0,0,True,False
0,24,1,8.0,0,1,28075.0,152.0,39,0,0,True,False
0,37,1,41.0,0,1,40874.0,26.0,174,0,0,False,False
1,24,1,10.0,1,0,40536.0,152.0,170,0,0,True,False
1,27,1,8.0,1,0,24417.0,152.0,52,0,0,True,False
0,73,1,29.0,0,1,2630.0,156.0,245,0,0,False,False
0,20,1,40.0,0,1,31933.0,124.0,167,0,0,False,False
1,66,1,28.0,0,1,31240.0,26.0,79,0,0,False,False
1,66,1,11.0,1,0,2630.0,26.0,188,0,0,False,False
0,62,1,8.0,1,0,35252.0,26.0,43,1,1,False,False
0,44,1,30.0,1,0,40634.0,152.0,90,0,0,False,False
0,25,1,11.0,1,0,38980.0,152.0,262,0,0,True,False
0,35,1,9.0,0,1,41217.0,26.0,167,0,0,False,False
0,34,1,4.0,1,0,2630.0,1.0,288,0,0,True,False
0,75,1,28.0,0,1,56985.0,3.0,101,1,1,False,False
0,27,1,8.0,1,0,28060.0,152.0,105,0,0,True,False
1,25,1,29.0,1,0,38644.0,152.0,284,0,0,True,False
1,22,1,6.0,0,0,19436.0,152.0,199,0,0,True,False
0,21,1,27.0,0,1,41320.0,160.0,191,0,0,True,False
0,24,1,28.0,1,0,30704.0,152.0,150,0,0,True,False
1,21,1,46.0,0,1,25085.0,160.0,196,0,0,True,False
0,30,1,45.0,1,0,2630.0,152.0,204,0,0,True,False
0,26,1,50.0,1,0,30639.0,152.0,103,0,0,True,False
1,21,1,46.0,0,0,37047.0,160.0,168,0,0,True,False
0,31,1,26.0,0,1,29844.0,26.0,257,0,0,True,False
0,26,1,27.0,0,0,26174.0,152.0,194,0,0,True,False
1,24,1,5.0,1,0,2630.0,26.0,190,0,0,True,False
0,37,1,33.0,0,1,35528.0,124.0,79,0,0,False,False
0,38,1,46.0,0,1,2630.0,157.0,157,1,1,False,False
1,53,1,19.0,0,1,36139.0,124.0,156,1,1,False,False
0,21,1,6.0,0,1,18898.0,152.0,107,0,0,True,False
1,59,1,11.0,0,1,27230.0,120.0,88,0,0,False,False
1,66,1,8.0,0,1,33504.0,155.0,193,0,0,False,False
