id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
253383,Female,23,1,15.0,0,< 1 Year,Yes,36917.0,152.0,221,1
196949,Female,25,1,28.0,1,< 1 Year,No,52071.0,152.0,222,0
69867,Female,49,1,28.0,0,1-2 Year,No,41754.0,26.0,203,0
57178,Male,48,1,28.0,0,> 2 Years,Yes,38744.0,26.0,19,1
301376,Female,24,1,8.0,0,< 1 Year,No,51390.0,152.0,262,0
39266,Male,65,1,41.0,1,1-2 Year,No,21669.0,122.0,151,0
153979,Female,39,1,28.0,0,1-2 Year,No,64781.0,26.0,122,0
377213,Male,40,1,20.0,0,1-2 Year,Yes,2630.0,157.0,173,1
350004,Male,68,1,8.0,0,1-2 Year,Yes,45600.0,124.0,36,0
198917,Female,23,1,8.0,1,< 1 Year,No,27734.0,160.0,172,0
8803,Female,48,1,28.0,0,1-2 Year,Yes,41771.0,124.0,25,0
104636,Male,24,1,29.0,1,< 1 Year,No,57061.0,152.0,41,0
249820,Female,74,1,35.0,1,1-2 Year,No,32041.0,26.0,149,0
267963,Female,22,1,8.0,1,< 1 Year,No,39371.0,152.0,299,0
84919,Male,43,1,28.0,0,1-2 Year,Yes,28086.0,124.0,149,0
137472,Male,20,1,8.0,0,< 1 Year,Yes,39117.0,160.0,86,0
74821,Male,58,1,38.0,0,1-2 Year,Yes,26588.0,124.0,148,0
162066,Female,21,1,46.0,1,< 1 Year,No,34827.0,160.0,163,0
167735,Male,24,1,6.0,1,< 1 Year,No,18562.0,152.0,278,0
349473,Male,22,1,8.0,1,< 1 Year,No,51263.0,152.0,272,0
4498,Female,27,1,34.0,0,< 1 Year,Yes,36668.0,152.0,181,0
92218,Male,40,1,28.0,1,1-2 Year,No,2630.0,124.0,267,0
217182,Male,25,1,36.0,1,< 1 Year,No,31086.0,152.0,258,0
66751,Female,52,1,48.0,0,1-2 Year,No,2630.0,26.0,247,0
240117,Female,36,1,28.0,0,1-2 Year,Yes,71428.0,26.0,129,1
227537,Female,22,1,33.0,1,< 1 Year,No,23915.0,152.0,33,0
295475,Female,22,1,3.0,1,< 1 Year,No,24384.0,152.0,233,0
78488,Male,28,1,39.0,0,< 1 Year,Yes,42785.0,156.0,222,0
106237,Female,22,1,7.0,0,1-2 Year,Yes,48915.0,156.0,94,0
299778,Female,65,1,28.0,0,> 2 Years,Yes,43701.0,124.0,183,0
345060,Female,27,1,8.0,1,< 1 Year,No,31059.0,152.0,47,0
81559,Female,20,1,48.0,0,1-2 Year,Yes,2630.0,156.0,137,0
363452,Male,45,1,28.0,0,1-2 Year,Yes,33604.0,26.0,247,1
65250,Male,30,1,8.0,1,< 1 Year,No,2630.0,152.0,172,0
349354,Female,77,1,28.0,0,1-2 Year,Yes,31154.0,157.0,248,0
370511,Male,24,1,47.0,1,< 1 Year,No,28435.0,152.0,138,0
182446,Female,79,1,31.0,0,> 2 Years,Yes,2630.0,26.0,173,0
315308,Female,23,1,12.0,1,< 1 Year,No,31322.0,152.0,46,0
279884,Female,29,1,28.0,1,< 1 Year,No,22851.0,153.0,240,0
174935,Male,29,1,3.0,0,1-2 Year,Yes,2630.0,124.0,186,0
17430,Female,24,1,13.0,1,< 1 Year,No,2630.0,151.0,179,0
290483,Female,35,1,28.0,1,1-2 Year,No,2630.0,124.0,51,0
187740,Male,22,1,30.0,1,< 1 Year,No,2630.0,152.0,59,0
96054,Male,21,1,10.0,0,< 1 Year,Yes,30016.0,152.0,49,0
329621,Male,46,1,28.0,0,> 2 Years,Yes,85447.0,154.0,257,0
48670,Male,21,1,8.0,0,< 1 Year,Yes,35338.0,152.0,75,0
268155,Male,80,1,28.0,0,1-2 Year,Yes,28568.0,26.0,199,0
51648,Male,49,1,23.0,0,1-2 Year,No,27229.0,26.0,122,0
187735,Male,59,1,11.0,0,1-2 Year,Yes,27230.0,120.0,88,0
139688,Male,64,1,28.0,0,1-2 Year,Yes,40309.0,25.0,158,0
141598,Female,25,1,8.0,1,< 1 Year,No,42282.0,152.0,159,0
212827,Male,43,1,8.0,0,1-2 Year,No,37683.0,26.0,222,0
125904,Male,42,1,28.0,1,1-2 Year,No,36249.0,26.0,201,0
141906,Male,47,1,6.0,0,1-2 Year,Yes,2630.0,156.0,285,1
154232,Male,22,1,50.0,1,< 1 Year,No,2630.0,152.0,122,0
60577,Male,47,1,28.0,0,1-2 Year,Yes,42815.0,26.0,293,1
173743,Female,61,1,28.0,0,1-2 Year,Yes,2630.0,156.0,144,0
236294,Male,43,1,19.0,1,1-2 Year,No,41031.0,124.0,45,0
283049,Female,25,1,15.0,0,< 1 Year,Yes,26538.0,152.0,129,0
45119,Female,58,1,29.0,0,1-2 Year,Yes,32446.0,26.0,245,0
136552,Female,45,1,15.0,0,> 2 Years,Yes,34569.0,124.0,32,1
236196,Female,24,1,28.0,0,< 1 Year,Yes,2630.0,26.0,42,0
53230,Male,43,1,19.0,0,1-2 Year,Yes,38944.0,124.0,298,0
291224,Female,33,1,28.0,1,< 1 Year,No,28580.0,152.0,282,0
353121,Female,20,1,43.0,1,< 1 Year,No,29353.0,160.0,89,0
279554,Female,30,1,28.0,1,< 1 Year,Yes,32446.0,152.0,199,0
92657,Male,37,1,28.0,1,1-2 Year,No,54295.0,26.0,75,0
249014,Female,26,1,44.0,1,< 1 Year,No,2630.0,152.0,298,0
226562,Male,26,1,28.0,1,< 1 Year,No,59627.0,152.0,211,0
299655,Male,48,1,28.0,1,1-2 Year,No,33319.0,26.0,265,0
243017,Female,72,1,28.0,0,1-2 Year,Yes,31412.0,124.0,261,0
35880,Female,35,1,15.0,0,1-2 Year,Yes,35168.0,124.0,278,1
